,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
1938,1,4,10,4,6,10,1,5,2,7,0,8,2,6,5,7,2,3,1,7,51 or more,Male,48.17754262198705
1939,1,4,3,3,1,1,2,3,1,3,1,1,2,10,8,0,2,7,1,4,Less than 20,Male,40.00587889476778
1940,4,4,10,4,10,10,5,5,2,8,10,1,1,6,3,2,2,8,9,7,21 to 35,Female,66.25514403292179
1941,5,2,5,7,10,6,3,0,1,8,2,7,2,9,0,0,2,1,2,10,21 to 35,Male,63.786008230452666
1942,5,3,7,10,10,10,4,5,1,9,1,5,3,7,4,7,2,9,6,7,36 to 50,Female,70.04703115814225
1943,3,5,8,8,10,2,5,1,1,3,3,7,1,8,3,1,1,3,1,7,21 to 35,Female,49.73544973544974
1944,2,4,3,10,8,4,3,4,1,7,1,7,1,8,10,7,2,5,1,6,21 to 35,Female,50.235155790711325
1945,2,1,1,2,2,6,0,0,1,0,1,2,0,8,0,2,2,1,1,6,21 to 35,Male,39.447383891828345
1946,3,4,3,8,6,10,3,1,2,4,0,4,1,7,6,6,1,8,1,6,36 to 50,Female,39.00646678424457
1947,1,1,4,4,3,4,1,0,1,3,1,5,0,7,5,1,2,2,2,4,Less than 20,Male,41.563786008230444
1948,3,4,2,10,5,10,8,3,2,4,3,3,5,8,8,3,2,10,6,3,51 or more,Male,54.497354497354486
1949,2,4,10,3,10,4,5,5,2,1,4,3,6,8,7,0,2,9,2,2,36 to 50,Female,52.49853027630805
1950,2,1,1,2,2,6,0,0,1,0,1,2,0,8,0,2,2,1,1,6,21 to 35,Male,39.447383891828345
1951,2,1,1,2,2,6,0,0,1,0,1,2,0,8,0,2,2,1,1,6,21 to 35,Male,39.447383891828345
1952,5,2,3,3,10,6,3,5,1,10,1,2,0,7,4,0,2,3,4,10,36 to 50,Female,61.37566137566135
1953,2,2,10,3,1,2,3,2,1,3,3,6,1,7,0,1,2,3,2,5,21 to 35,Male,50.617283950617285
1954,4,1,3,3,9,4,2,5,1,6,4,5,10,7,0,1,2,7,5,4,51 or more,Female,66.54908877131098
1955,3,1,7,10,10,10,6,3,1,10,5,9,5,10,5,3,2,6,8,10,51 or more,Female,78.9535567313345
1956,4,4,3,8,8,10,2,2,1,10,6,2,0,6,0,1,1,1,1,3,51 or more,Male,50.8230452674897
1957,1,3,3,3,10,10,3,3,2,9,4,7,5,8,10,2,2,7,6,3,36 to 50,Male,53.7330981775426
1958,3,4,3,2,2,2,5,2,1,4,0,1,0,8,10,5,2,2,0,6,21 to 35,Female,35.3909465020576
1959,3,3,10,3,7,4,5,0,2,0,3,9,7,10,0,0,1,5,0,9,21 to 35,Male,50.9700176366843
1960,2,3,4,3,4,10,2,2,1,2,1,10,5,10,5,3,1,3,2,4,Less than 20,Female,47.03115814226925
1961,3,4,10,10,4,5,9,5,1,8,4,8,2,4,7,10,2,10,3,9,21 to 35,Female,63.05114638447971
1962,3,2,6,10,10,10,5,5,1,10,2,5,10,6,0,0,2,10,8,7,51 or more,Female,79.98236331569665
1963,5,1,6,6,8,2,3,5,1,7,4,2,5,8,0,3,1,8,0,6,51 or more,Female,59.43562610229277
1964,2,4,7,5,2,10,1,1,2,4,1,4,10,7,0,2,2,4,1,6,21 to 35,Male,48.50088183421516
1965,5,3,5,6,10,5,2,1,1,9,5,4,0,7,0,6,2,8,4,5,36 to 50,Female,59.4944150499706
1966,2,5,2,8,5,4,2,1,1,2,2,3,2,6,10,5,1,7,1,5,36 to 50,Male,34.39153439153439
1967,4,3,4,5,8,5,10,5,2,4,2,10,3,6,0,0,1,8,3,10,51 or more,Female,59.78835978835977
1968,2,3,10,4,10,10,10,2,2,9,4,4,2,6,10,0,2,10,8,10,51 or more,Male,63.93298059964726
1969,5,2,6,2,8,7,5,3,2,7,1,8,0,8,3,2,2,9,0,8,21 to 35,Male,57.789535567313344
1970,2,4,10,7,6,10,2,5,1,4,0,3,10,7,0,3,2,1,1,10,Less than 20,Male,61.434450323339206
1971,3,4,10,5,7,10,5,1,2,3,5,3,1,8,0,8,2,10,1,5,21 to 35,Female,51.998824221046426
1972,4,2,7,6,10,4,1,1,1,10,5,2,2,7,0,6,2,6,7,5,36 to 50,Female,60.376249265138135
1973,1,1,4,4,6,9,1,2,2,7,1,2,0,7,8,5,1,5,2,2,51 or more,Female,34.89124044679601
1974,5,1,5,6,8,7,8,5,1,8,2,6,7,7,0,2,2,10,3,10,51 or more,Female,76.10229276895943
1975,2,3,10,5,10,10,2,5,1,8,3,10,5,7,0,0,2,6,4,8,51 or more,Female,72.83950617283949
1976,4,1,5,10,4,3,2,5,1,6,2,5,0,7,0,5,2,10,2,10,21 to 35,Female,63.05114638447971
1977,1,1,10,5,5,4,10,4,1,5,5,8,10,7,0,0,1,6,10,10,36 to 50,Male,71.22281011169898
1978,2,1,6,7,5,6,2,5,1,8,2,2,2,8,1,1,2,2,2,10,Less than 20,Female,60.435038212815996
1979,5,5,5,9,3,10,0,0,1,10,1,10,2,7,0,1,1,0,0,10,Less than 20,Female,52.85126396237505
1980,1,4,10,8,4,8,5,0,2,5,4,7,1,7,0,3,2,8,3,5,21 to 35,Male,52.674897119341566
1981,1,1,2,8,2,5,5,2,1,5,2,4,1,8,6,6,2,4,2,2,21 to 35,Female,45.56143445032333
1982,2,1,5,8,3,9,3,1,1,7,4,6,3,8,1,1,2,3,8,7,Less than 20,Female,62.66901822457378
1983,5,4,5,2,3,5,7,4,1,8,0,5,10,9,6,7,1,10,8,7,51 or more,Male,57.67195767195767
1984,4,1,10,5,10,8,8,5,1,4,3,1,3,6,0,2,2,10,1,5,21 to 35,Male,68.25396825396825
1985,1,3,10,4,10,10,10,5,1,5,5,3,10,6,10,4,2,3,3,4,21 to 35,Female,61.87536743092298
1986,3,4,3,2,2,10,10,0,1,8,1,8,3,6,3,10,2,10,10,5,36 to 50,Male,56.172839506172835
1987,3,5,3,4,2,4,3,1,1,7,3,5,0,5,10,10,1,3,1,1,36 to 50,Female,28.95355673133451
1988,0,1,4,6,3,8,0,2,1,4,2,4,1,7,7,2,1,5,1,9,21 to 35,Female,43.00411522633743
1989,5,4,4,10,10,10,6,5,1,7,3,7,1,6,0,0,2,4,1,7,36 to 50,Female,68.60670194003525
1990,5,4,4,10,10,10,6,5,1,7,3,7,1,6,0,0,2,4,1,7,36 to 50,Female,68.60670194003525
1991,3,4,3,7,7,6,7,5,1,7,4,1,0,5,2,6,1,10,7,9,36 to 50,Female,55.70252792475014
1992,4,2,10,5,10,9,5,5,1,5,2,9,5,7,0,1,2,10,6,10,51 or more,Male,77.77777777777779
1993,3,5,5,4,10,3,10,5,2,3,3,4,4,7,5,3,1,10,2,2,36 to 50,Male,47.00176366843032
1994,3,3,1,5,10,3,5,3,1,3,3,7,5,8,10,1,1,5,6,2,51 or more,Male,48.736037624926496
1995,1,1,10,6,5,5,5,5,2,4,3,3,5,5,0,2,2,10,5,10,51 or more,Male,61.31687242798354
1996,0,4,1,1,5,5,2,2,1,2,2,4,0,6,5,4,2,10,0,10,36 to 50,Female,41.9459141681364
1997,4,3,2,6,10,5,3,5,1,10,5,10,5,6,0,1,2,7,3,10,51 or more,Female,71.28159905937683
1998,5,5,0,5,10,4,10,5,1,4,1,9,0,8,0,0,1,10,3,6,51 or more,Female,59.847148736037624
1999,3,1,5,5,2,6,2,5,1,3,1,2,3,8,0,3,1,5,1,1,36 to 50,Female,46.9429747207525
2000,3,3,10,6,4,7,6,3,2,7,3,6,3,8,0,2,2,4,8,3,Less than 20,Male,59.17107583774248
2001,3,3,5,8,4,5,4,0,1,7,1,8,5,6,0,10,2,5,2,10,36 to 50,Male,54.673721340388006
2002,5,3,4,8,5,10,1,5,1,3,5,7,3,8,0,3,2,3,5,10,21 to 35,Female,66.22574955908287
2003,3,3,2,5,5,2,2,2,1,2,2,1,1,6,7,4,1,2,1,5,51 or more,Male,33.7742504409171
2004,4,4,2,1,0,2,2,1,1,0,2,2,2,8,7,3,1,1,3,6,51 or more,Female,30.95238095238094
2005,4,4,4,2,1,1,2,4,1,1,0,1,1,8,10,1,1,1,1,10,51 or more,Female,34.39153439153439
2006,3,4,6,10,3,2,6,2,1,3,4,6,1,9,10,0,2,10,1,5,21 to 35,Female,53.7330981775426
2007,2,1,10,9,10,8,5,2,2,8,9,8,2,7,0,5,2,5,4,7,21 to 35,Female,66.22574955908287
2008,4,4,6,10,10,10,10,0,1,9,7,6,1,9,5,1,2,5,8,9,21 to 35,Female,71.7225161669606
2009,2,4,3,8,7,10,1,4,1,8,2,5,0,6,0,7,2,4,3,1,36 to 50,Male,51.998824221046426
2010,5,2,0,0,2,4,0,0,1,10,3,3,2,8,0,0,1,0,2,1,21 to 35,Male,40.00587889476778
2011,5,1,1,1,2,2,9,0,1,9,7,7,8,7,7,5,2,5,9,9,21 to 35,Male,60.67019400352732
2012,4,3,0,2,3,6,1,1,1,2,2,3,1,8,1,6,2,2,0,5,51 or more,Female,40.50558495002938
2013,5,4,10,3,2,2,1,3,1,3,1,3,1,9,0,7,2,4,5,1,21 to 35,Female,47.560258671369766
2014,3,3,1,10,0,4,4,1,2,3,2,10,1,10,1,5,1,5,1,10,Less than 20,Female,43.53321575543798
2015,2,4,5,10,10,10,2,1,2,7,1,3,0,6,0,4,1,10,6,7,36 to 50,Female,49.882422104644334
2016,3,4,10,7,2,10,1,3,2,2,3,6,2,8,10,3,2,3,1,7,21 to 35,Male,46.178718400940625
2017,0,4,5,3,0,4,3,0,2,0,2,2,0,8,10,9,1,6,1,3,21 to 35,Male,19.459141681363914
2018,5,1,6,5,3,4,1,5,2,7,3,5,0,8,0,2,2,4,1,6,36 to 50,Male,54.11522633744856
2019,3,3,6,7,6,6,2,5,1,8,3,5,5,8,7,6,2,4,2,6,Less than 20,Female,57.1134626690182
2020,2,4,5,5,3,4,1,4,1,10,10,10,0,6,10,1,1,3,2,4,36 to 50,Female,47.79541446208113
2021,2,2,10,10,10,10,3,5,1,6,1,5,1,8,2,0,2,10,2,7,21 to 35,Male,70.1058201058201
2022,3,4,10,7,2,10,1,3,2,2,3,6,2,8,10,3,2,3,1,7,21 to 35,Male,46.178718400940625
2023,2,3,10,9,10,10,8,5,1,8,4,10,10,6,1,2,2,9,9,7,51 or more,Male,82.27513227513225
2024,2,1,10,7,10,4,6,1,1,8,2,5,2,7,0,1,2,10,1,7,51 or more,Female,65.54967666078775
2025,1,1,7,10,10,5,2,2,1,9,1,2,2,6,10,2,2,1,1,10,36 to 50,Female,53.32157554379775
2026,4,4,4,8,10,10,7,5,2,5,2,6,5,6,6,0,2,10,8,5,51 or more,Female,64.55026455026454
2027,4,4,10,5,3,6,4,1,1,9,1,10,2,9,0,1,1,10,5,7,51 or more,Female,60.96413874191651
2028,0,5,2,2,0,1,0,0,1,1,1,1,0,9,0,8,1,1,0,10,21 to 35,Female,24.456202233980022
2029,5,4,1,3,2,1,1,2,1,7,1,10,0,8,10,0,2,5,2,10,51 or more,Female,48.41269841269842
2030,5,0,10,4,6,5,6,5,2,8,2,10,0,6,0,2,1,8,2,10,51 or more,Female,62.28689006466783
2031,5,0,10,4,6,5,6,5,2,8,2,10,0,6,0,2,1,8,2,10,51 or more,Female,62.28689006466783
2032,5,4,6,10,10,10,4,5,2,5,6,4,10,6,0,1,2,6,8,4,51 or more,Female,69.429747207525
2033,2,1,2,7,5,5,2,2,1,8,4,4,5,8,0,3,2,10,4,5,36 to 50,Male,60.552616108171655
2034,4,1,4,2,5,10,2,1,1,5,5,7,3,7,3,1,2,4,1,7,21 to 35,Male,57.67195767195767
2035,1,5,3,2,10,2,3,5,1,7,1,4,0,5,5,10,2,10,2,1,36 to 50,Female,42.88653733098176
2036,2,2,2,1,1,2,2,0,2,2,0,4,2,4,0,0,1,2,0,1,21 to 35,Male,25.83774250440916
2037,2,2,1,1,0,2,1,0,2,2,0,6,2,5,0,1,1,2,0,2,21 to 35,Male,26.014109347442677
2038,1,5,10,10,6,7,4,3,2,3,1,6,1,6,0,5,2,10,1,7,36 to 50,Male,52.05761316872428
2039,4,2,10,5,10,10,4,1,2,7,2,6,2,8,10,0,2,7,6,7,21 to 35,Male,59.67078189300411
2040,2,3,1,4,1,10,3,0,1,4,1,8,5,7,5,4,2,3,2,5,36 to 50,Male,46.237507348618436
2041,0,5,3,1,10,10,1,1,2,3,2,3,2,5,0,4,1,10,4,7,36 to 50,Male,38.83009994121105
2042,4,4,3,10,4,7,2,5,2,3,1,8,10,8,7,1,2,10,1,10,36 to 50,Female,59.28865373309819
2043,2,1,1,3,7,10,5,5,1,5,2,6,5,8,2,4,2,6,8,3,36 to 50,Female,62.169312169312164
2044,2,2,10,3,10,10,2,2,2,6,3,6,0,7,0,1,2,4,6,7,21 to 35,Female,58.11287477954146
2045,4,3,4,5,8,5,10,5,2,4,2,10,3,6,0,0,1,8,3,10,51 or more,Female,59.78835978835977
2046,2,2,4,7,5,10,3,3,1,8,3,4,5,7,8,3,2,6,1,5,21 to 35,Female,55.996472663139315
2047,2,5,1,4,2,10,3,2,2,3,4,2,5,6,3,7,1,7,4,3,21 to 35,Male,35.33215755437978
2048,3,4,0,2,0,10,10,2,2,0,0,2,10,8,10,5,1,3,0,10,21 to 35,Male,35.449735449735456
2049,1,4,3,8,7,10,3,5,2,5,5,5,0,6,10,3,1,5,1,3,21 to 35,Male,40.50558495002938
2050,5,2,8,2,6,4,3,1,2,1,1,3,1,9,2,2,1,3,1,3,21 to 35,Female,39.06525573192239
2051,5,3,10,8,10,6,5,5,1,8,8,10,5,7,0,0,2,5,8,10,21 to 35,Female,81.83421516754848
2052,3,3,1,4,2,6,6,4,1,7,1,2,0,8,0,3,1,4,1,8,Less than 20,Female,46.9429747207525
2053,1,2,1,3,4,8,3,2,1,7,4,3,2,7,2,4,2,9,1,4,21 to 35,Male,50.44091710758377
2054,3,1,4,5,4,5,5,0,2,7,5,8,10,8,0,2,2,5,6,7,36 to 50,Male,60.288065843621396
2055,2,1,5,8,1,5,1,1,1,4,2,2,2,6,10,0,2,2,2,6,21 to 35,Male,44.32686654908875
2056,3,3,3,5,8,10,8,3,2,8,7,1,10,7,0,3,2,10,6,3,36 to 50,Female,63.81540270429159
2057,3,1,6,10,10,10,4,5,1,10,3,2,10,7,8,3,2,10,2,1,36 to 50,Male,68.37154614932392
2058,5,1,5,5,3,10,2,1,2,5,1,9,10,7,0,1,2,10,0,10,21 to 35,Female,62.78659611992945
2059,1,1,10,10,10,4,5,4,1,5,1,5,5,6,10,1,1,8,1,1,21 to 35,Male,53.49794238683126
2060,4,4,3,3,0,10,2,3,1,8,2,4,3,6,9,1,1,4,4,2,21 to 35,Male,42.945326278659614
2061,1,1,4,1,2,9,0,1,1,0,0,10,0,6,10,0,2,8,0,6,21 to 35,Male,43.79776601998824
2062,4,4,2,10,10,3,1,5,2,8,1,4,5,6,0,7,2,6,0,4,21 to 35,Female,50.94062316284537
2063,2,3,8,3,5,3,2,0,2,5,1,8,1,7,0,8,1,3,0,10,21 to 35,Male,37.74250440917106
2064,2,4,9,4,0,7,0,0,1,8,1,7,3,5,4,10,2,10,0,7,Less than 20,Female,46.06114050558496
2065,0,4,2,4,7,10,0,2,2,8,3,10,10,4,0,6,2,10,0,7,Less than 20,Male,52.175191064079954
2066,5,5,1,7,7,10,6,2,1,7,8,8,5,7,5,6,2,10,7,5,36 to 50,Female,65.22633744855966
2067,5,5,8,8,10,10,5,2,2,8,6,6,2,7,2,3,1,10,10,5,36 to 50,Male,61.61081716637272
2068,5,5,8,8,10,10,5,2,2,8,6,6,2,7,2,3,1,10,10,5,36 to 50,Male,61.61081716637272
2069,1,4,5,4,4,4,3,3,2,2,3,2,2,8,5,4,1,10,1,4,36 to 50,Male,35.94944150499704
2070,3,1,4,10,5,10,7,4,2,9,1,4,1,7,0,1,2,10,2,7,51 or more,Male,63.49206349206349
2071,1,2,2,7,0,10,5,1,1,1,3,8,1,6,0,2,2,5,0,4,21 to 35,Male,49.676660787771894
2072,4,2,10,10,4,10,4,5,1,8,8,10,5,7,0,0,2,8,4,10,21 to 35,Male,80.83480305702527
2073,5,1,10,8,10,5,3,5,1,10,4,10,0,8,0,2,2,8,4,10,51 or more,Female,77.89535567313344
2074,4,4,3,3,3,10,2,1,2,3,2,4,3,6,1,4,1,3,1,2,21 to 35,Female,35.449735449735456
2075,5,0,10,0,10,10,10,5,2,10,3,1,0,7,0,0,2,10,2,10,51 or more,Male,70.81128747795414
2076,1,0,5,10,10,10,10,5,1,9,6,5,10,5,10,0,2,10,10,5,36 to 50,Male,77.92475014697237
2077,2,0,6,10,10,10,10,5,1,10,7,5,10,5,10,0,2,10,10,5,36 to 50,Male,80.42328042328042
2078,4,3,10,10,10,10,5,5,1,6,2,9,1,8,0,1,1,8,4,10,36 to 50,Female,71.84009406231627
2079,5,5,2,5,4,0,1,2,2,4,2,6,0,6,0,1,2,5,0,10,51 or more,Male,43.562610229276906
2080,3,1,10,10,10,8,4,3,1,8,2,5,2,8,2,3,2,6,2,10,36 to 50,Female,69.60611405055847
2081,2,2,4,5,1,6,0,0,2,4,1,3,0,8,0,2,2,5,3,2,36 to 50,Female,39.506172839506156
2082,5,5,4,6,2,3,2,5,2,4,2,10,1,6,0,7,1,3,0,7,36 to 50,Female,41.299235743680185
2083,5,5,4,6,2,3,2,5,2,4,2,10,1,6,0,7,1,3,0,7,36 to 50,Female,41.299235743680185
2084,3,1,5,5,3,1,0,3,2,4,2,1,0,8,0,3,2,10,2,7,21 to 35,Female,46.884185773074655
2085,1,2,5,5,4,6,3,1,2,3,7,2,1,5,0,0,2,0,2,8,51 or more,Female,44.76778365667253
2086,4,3,4,4,10,10,7,5,2,9,9,5,10,8,5,0,2,10,10,10,51 or more,Male,76.10229276895943
2087,4,3,4,4,10,10,7,5,2,9,9,5,10,8,5,0,2,10,10,10,51 or more,Male,76.10229276895943
2088,5,3,1,3,3,10,0,1,1,7,3,2,1,6,5,3,2,7,0,4,36 to 50,Female,46.8253968253968
2089,3,0,8,6,10,5,10,4,1,7,2,10,5,10,0,0,2,7,4,10,51 or more,Male,79.01234567901231
2090,3,0,4,10,10,10,3,5,1,4,3,8,2,7,0,1,2,4,3,10,36 to 50,Female,71.22281011169898
2091,1,1,10,5,4,5,5,2,1,7,4,5,1,6,8,0,2,5,1,6,21 to 35,Male,54.497354497354486
2092,2,2,2,4,4,2,0,4,2,7,1,2,1,5,0,3,2,8,0,8,51 or more,Female,43.76837154614931
2093,4,1,6,6,10,3,8,5,2,8,2,8,1,7,2,0,2,10,4,10,36 to 50,Female,68.22457378012933
2094,5,2,10,3,1,4,10,2,1,8,1,3,4,8,1,1,2,5,3,7,21 to 35,Male,61.99294532627865
2095,3,5,1,5,8,10,7,4,2,7,7,2,9,6,10,8,2,3,5,0,36 to 50,Female,47.325102880658434
2096,4,3,10,9,5,10,3,3,1,6,1,6,1,7,0,1,2,9,9,10,51 or more,Female,71.10523221634331
2097,4,1,5,2,2,3,2,2,1,7,1,6,0,8,0,4,2,0,1,2,36 to 50,Female,47.17813051146384
2098,3,4,2,2,1,10,1,2,1,5,3,3,2,8,2,3,2,4,5,3,36 to 50,Female,47.50146972369195
2099,3,3,2,10,5,10,9,4,2,8,3,7,1,6,0,1,1,10,1,7,36 to 50,Female,57.61316872427983
2100,5,2,4,10,10,4,10,5,1,7,4,6,2,8,0,0,1,10,5,6,51 or more,Female,70.66431510875954
2101,5,4,5,4,2,6,1,1,1,5,1,5,0,6,0,10,1,2,0,10,21 to 35,Female,40.00587889476778
2102,4,2,8,5,4,5,3,3,1,5,6,6,1,5,0,3,2,4,3,6,51 or more,Female,58.495002939447375
2103,4,2,10,7,7,9,3,3,1,5,2,7,1,7,0,0,2,7,3,10,51 or more,Female,68.6654908877131
2104,1,0,5,4,1,10,1,3,2,7,3,7,4,7,0,1,1,5,1,5,21 to 35,Male,48.17754262198705
2105,1,1,5,10,2,5,7,2,1,8,2,5,0,7,0,2,2,5,2,8,21 to 35,Male,58.55379188712523
2106,0,3,1,2,9,10,0,0,1,0,3,2,0,9,10,3,2,3,1,1,36 to 50,Male,35.50852439741327
2107,2,2,2,1,0,1,0,0,1,1,0,1,0,9,0,4,1,1,1,10,21 to 35,Female,30.95238095238094
2108,1,3,4,5,7,10,4,4,2,5,7,4,5,5,0,5,2,4,7,7,21 to 35,Male,55.87889476778366
2109,3,2,6,2,7,8,4,3,1,8,10,6,3,8,0,2,2,8,1,4,36 to 50,Female,65.16754850088184
2110,3,5,8,7,10,4,2,1,1,7,1,5,4,8,0,2,2,10,2,2,21 to 35,Female,57.61316872427983
2111,3,2,8,10,10,10,9,5,2,7,6,8,10,8,0,1,2,10,2,5,36 to 50,Male,76.77836566725456
2112,5,0,4,5,2,5,2,5,1,6,5,10,1,7,0,2,2,4,6,10,36 to 50,Female,67.34273956496179
2113,2,3,5,4,10,10,3,5,2,8,3,8,5,8,0,1,1,10,1,5,21 to 35,Female,58.28924162257494
2114,2,3,10,6,10,4,4,3,1,9,3,5,5,6,0,1,2,10,3,10,36 to 50,Female,68.4891240446796
2115,1,2,4,2,3,3,6,1,1,3,6,3,1,6,3,2,2,7,4,5,51 or more,Male,48.3833039388595
2116,1,5,3,3,2,10,5,1,1,8,1,3,8,6,6,6,1,5,3,4,Less than 20,Female,40.88771310993533
2117,5,5,2,9,10,10,6,5,1,5,1,10,0,6,5,1,2,6,5,10,36 to 50,Female,66.78424456202234
2118,2,3,2,5,5,10,0,2,1,8,0,1,3,8,0,5,2,2,0,1,36 to 50,Female,45.38506760728981
2119,1,2,4,5,10,10,2,3,2,8,1,5,4,8,0,1,2,10,2,5,36 to 50,Male,58.11287477954146
2120,4,5,8,5,4,8,3,5,2,5,3,5,2,8,10,5,2,8,7,7,51 or more,Female,52.616108171663726
2121,3,3,8,4,10,10,7,2,2,8,3,5,3,8,0,2,2,3,5,10,21 to 35,Female,62.610229276895936
2122,3,3,8,4,10,10,7,2,2,8,3,5,3,8,0,2,2,3,5,10,21 to 35,Female,62.610229276895936
2123,2,3,1,2,2,10,1,2,2,1,1,1,0,7,0,1,1,10,2,7,36 to 50,Female,37.33098177542622
2124,5,2,4,8,4,10,3,5,1,8,4,3,10,7,0,3,2,6,1,6,36 to 50,Female,67.93062904174015
2125,5,4,3,5,4,10,4,3,2,5,5,4,1,8,4,7,2,3,6,5,21 to 35,Female,49.55908289241623
2126,4,4,1,4,2,1,2,3,1,2,0,5,0,7,0,5,2,3,0,5,36 to 50,Female,41.064079952968854
2127,2,4,2,10,6,10,2,0,1,5,3,8,2,8,0,10,1,3,4,6,Less than 20,Female,47.2957084068195
2128,3,1,10,5,2,3,2,1,1,3,0,1,0,8,0,1,2,4,2,5,21 to 35,Male,49.38271604938271
2129,3,4,6,8,3,10,4,2,1,8,9,3,5,8,10,3,1,7,7,10,36 to 50,Female,57.995296884185755
2130,4,2,5,7,10,10,3,1,2,3,1,6,3,8,0,4,2,8,8,7,36 to 50,Male,60.17048794826573
2131,1,3,1,8,4,8,1,1,2,8,1,4,1,7,7,5,2,2,0,7,36 to 50,Female,38.50676072898295
2132,0,3,0,1,1,2,2,1,2,6,0,2,0,8,0,10,2,1,0,8,51 or more,Female,27.954144620811288
2133,0,3,0,1,1,2,2,1,2,6,0,2,0,8,0,10,2,1,0,8,51 or more,Female,27.954144620811288
2134,0,3,0,1,1,2,2,1,2,6,0,2,0,8,0,10,2,1,0,8,51 or more,Female,27.954144620811288
2135,0,3,0,1,1,2,2,1,2,6,0,2,0,8,0,10,2,1,0,8,51 or more,Female,27.954144620811288
2136,4,2,6,7,6,8,3,5,1,7,3,8,3,7,3,1,2,10,2,7,21 to 35,Female,68.22457378012933
2137,2,5,2,4,10,10,5,2,2,8,2,4,5,7,0,10,1,4,2,7,51 or more,Female,43.50382128159905
2138,5,4,10,10,10,7,5,5,2,4,3,6,4,7,0,4,2,6,4,8,51 or more,Female,65.60846560846562
2139,2,3,10,6,3,10,4,2,1,1,0,1,0,7,9,3,2,3,1,3,21 to 35,Female,43.82716049382716
2140,5,4,10,10,10,8,5,5,2,3,3,6,3,7,0,5,2,5,2,10,51 or more,Female,64.10934744268077
2141,4,1,5,2,7,2,2,5,2,7,4,4,1,7,0,1,1,8,6,7,51 or more,Female,52.99823633156965
2142,1,3,0,4,1,4,4,1,2,3,5,1,4,8,10,1,1,7,4,4,36 to 50,Female,32.39271017048796
2143,2,2,10,1,2,1,10,1,1,4,1,1,2,9,0,10,2,10,4,10,21 to 35,Female,52.939447383891824
2144,2,1,1,6,2,10,2,2,2,7,2,8,10,6,1,1,2,3,2,5,36 to 50,Female,53.67430922986478
2145,1,0,3,4,4,10,2,5,2,5,1,1,1,4,3,5,2,6,0,10,51 or more,Female,46.649029982363324
2146,1,1,2,9,6,9,4,0,1,8,4,5,10,6,10,2,2,5,1,3,21 to 35,Female,54.497354497354486
2147,2,1,10,10,5,5,4,5,1,7,1,7,7,8,10,0,2,10,5,10,21 to 35,Female,70.22339800117577
2148,1,3,6,6,8,2,4,3,2,8,6,4,0,5,0,1,2,4,10,6,51 or more,Female,54.37977660199882
2149,5,4,10,6,5,3,5,5,2,4,2,5,0,7,10,7,2,10,5,10,51 or more,Male,53.0570252792475
2150,5,3,10,10,10,10,7,5,1,6,3,8,5,8,0,1,2,10,9,10,36 to 50,Male,84.27395649617873
2151,3,1,5,9,7,10,4,5,1,7,3,7,1,6,3,1,2,8,3,10,51 or more,Male,69.60611405055847
2152,2,4,1,5,7,2,1,5,1,8,0,1,1,7,0,10,2,10,0,4,36 to 50,Female,45.82598471487359
2153,1,3,4,6,4,1,3,0,1,4,2,6,0,6,7,2,2,2,0,5,21 to 35,Male,39.56496178718401
2154,5,3,4,10,5,10,1,4,2,0,2,3,2,4,0,0,2,7,2,10,21 to 35,Male,55.261610817166364
2155,5,5,3,3,4,10,3,3,1,5,1,4,0,6,0,0,2,5,1,7,36 to 50,Female,53.43915343915342
2156,1,1,1,4,1,6,5,1,2,6,3,2,5,7,1,1,2,4,7,10,21 to 35,Male,49.882422104644334
2157,1,2,3,3,2,2,3,1,1,7,2,7,2,6,1,2,2,5,5,3,21 to 35,Female,48.11875367430924
2158,2,4,6,4,2,4,6,0,2,8,5,4,2,6,0,2,2,8,8,7,21 to 35,Female,51.44032921810698
2159,1,1,2,10,2,9,8,1,2,10,7,3,2,7,0,1,2,4,6,7,21 to 35,Male,58.43621399176953
2160,2,5,2,10,10,10,1,5,2,2,0,1,5,6,2,10,2,5,0,2,21 to 35,Female,42.269253380364475
2161,3,0,2,5,0,6,1,0,2,1,0,5,0,10,10,0,1,1,0,1,Less than 20,Female,28.74779541446206
2162,2,2,1,8,8,2,2,5,2,6,1,3,3,7,0,1,2,6,0,10,51 or more,Female,52.439741328630205
2163,4,2,4,10,10,10,8,5,1,9,2,9,5,8,0,0,1,10,5,10,Less than 20,Female,76.83715461493237
2164,2,4,5,5,7,3,3,2,1,9,1,3,0,8,5,1,2,2,0,10,21 to 35,Female,49.500293944738374
2165,2,3,6,5,3,10,4,1,2,8,8,9,3,8,3,1,1,4,2,2,21 to 35,Female,48.8536155202822
2166,3,3,8,5,3,5,3,2,1,7,1,5,4,8,0,5,2,4,3,10,36 to 50,Female,57.1134626690182
2167,3,3,7,5,3,5,3,2,1,7,1,5,4,8,0,5,2,4,3,10,36 to 50,Female,56.613756613756614
